"Year","State","NMFS Name","Pounds","Dollars","Collection","Confidentiality"
"2008","MAINE","LOBSTER, AMERICAN ","69,908,847","245,147,946","Commercial","Public"
"2008","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,568,088","12,267,309","Commercial","Public"
"2007","MAINE","LOBSTER, AMERICAN ","63,987,073","280,699,182","Commercial","Public"
"2007","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,468,811","12,492,185","Commercial","Public"
"2006","MAINE","LOBSTER, AMERICAN ","75,345,905","305,443,481","Commercial","Public"
"2006","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,357,063","12,581,830","Commercial","Public"
"2005","MAINE","LOBSTER, AMERICAN ","68,729,623","317,950,942","Commercial","Public"
"2005","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,364,001","13,473,176","Commercial","Public"
"2004","MAINE","LOBSTER, AMERICAN ","71,574,344","289,078,847","Commercial","Public"
"2004","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,851,262","13,543,506","Commercial","Public"
"2003","MAINE","LOBSTER, AMERICAN ","54,970,948","205,715,329","Commercial","Public"
"2002","MAINE","LOBSTER, AMERICAN ","63,625,745","210,950,030","Commercial","Public"
"2002","NEW HAMPSHIRE","LOBSTER, AMERICAN ","391","1,511","Commercial","Public"
"2001","MAINE","LOBSTER, AMERICAN ","48,617,693","153,982,266","Commercial","Public"
"2001","NEW HAMPSHIRE","LOBSTER, AMERICAN ","2,027,725","8,071,915","Commercial","Public"
"2000","MAINE","LOBSTER, AMERICAN ","57,215,406","187,714,817","Commercial","Public"
"2000","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,709,746","7,080,967","Commercial","Public"
"1999","MAINE","LOBSTER, AMERICAN ","53,494,418","184,614,071","Commercial","Public"
"1999","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,380,360","5,915,579","Commercial","Public"
"1998","MAINE","LOBSTER, AMERICAN ","47,036,836","137,189,341","Commercial","Public"
"1998","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,194,653","4,702,353","Commercial","Public"
"1997","MAINE","LOBSTER, AMERICAN ","47,023,271","138,292,438","Commercial","Public"
"1997","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,414,133","5,544,727","Commercial","Public"
"1996","MAINE","LOBSTER, AMERICAN ","36,083,443","106,980,557","Commercial","Public"
"1996","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,632,829","6,563,641","Commercial","Public"
"1995","MAINE","LOBSTER, AMERICAN ","37,208,324","101,893,173","Commercial","Public"
"1995","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,834,794","6,655,660","Commercial","Public"
"1994","MAINE","LOBSTER, AMERICAN ","38,948,867","100,936,678","Commercial","Public"
"1994","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,650,751","5,566,282","Commercial","Public"
"1993","MAINE","LOBSTER, AMERICAN ","29,926,464","73,863,438","Commercial","Public"
"1993","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,693,347","5,567,109","Commercial","Public"
"1992","MAINE","LOBSTER, AMERICAN ","26,830,448","71,822,699","Commercial","Public"
"1992","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,529,292","5,033,198","Commercial","Public"
"1991","MAINE","LOBSTER, AMERICAN ","30,788,646","72,300,255","Commercial","Public"
"1991","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,802,035","4,934,205","Commercial","Public"
"1990","MAINE","LOBSTER, AMERICAN ","28,068,238","61,627,973","Commercial","Public"
"1990","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,658,200","4,048,800","Commercial","Public"
"1989","MAINE","LOBSTER, AMERICAN ","23,368,800","59,552,201","Commercial","Public"
"1989","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,430,400","3,720,012","Commercial","Public"
"1988","MAINE","LOBSTER, AMERICAN ","21,738,800","60,742,438","Commercial","Public"
"1988","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,118,900","3,178,840","Commercial","Public"
"1987","MAINE","LOBSTER, AMERICAN ","19,747,800","54,548,137","Commercial","Public"
"1987","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,256,170","3,577,806","Commercial","Public"
"1986","MAINE","LOBSTER, AMERICAN ","19,704,400","46,171,224","Commercial","Public"
"1986","NEW HAMPSHIRE","LOBSTER, AMERICAN ","941,100","2,211,585","Commercial","Public"
"1985","MAINE","LOBSTER, AMERICAN ","20,125,000","45,035,558","Commercial","Public"
"1985","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,193,881","2,706,814","Commercial","Public"
"1984","MAINE","LOBSTER, AMERICAN ","19,545,600","49,298,087","Commercial","Public"
"1984","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,570,724","3,889,925","Commercial","Public"
"1983","MAINE","LOBSTER, AMERICAN ","21,976,500","51,234,291","Commercial","Public"
"1983","NEW HAMPSHIRE","LOBSTER, AMERICAN ","1,310,560","3,066,634","Commercial","Public"
"1982","MAINE","LOBSTER, AMERICAN ","22,730,100","50,343,596","Commercial","Public"
"1982","NEW HAMPSHIRE","LOBSTER, AMERICAN ","807,400","1,803,700","Commercial","Public"
"1981","MAINE","LOBSTER, AMERICAN ","22,631,600","47,236,923","Commercial","Public"
"1981","NEW HAMPSHIRE","LOBSTER, AMERICAN ","793,400","1,650,344","Commercial","Public"
"1980","MAINE","LOBSTER, AMERICAN ","21,980,700","41,704,744","Commercial","Public"
"1980","NEW HAMPSHIRE","LOBSTER, AMERICAN ","723,900","1,339,190","Commercial","Public"
"1979","MAINE","LOBSTER, AMERICAN ","22,133,200","39,900,632","Commercial","Public"
"1979","NEW HAMPSHIRE","LOBSTER, AMERICAN ","780,100","1,361,512","Commercial","Public"
"1978","MAINE","LOBSTER, AMERICAN ","19,130,600","33,878,376","Commercial","Public"
"1978","NEW HAMPSHIRE","LOBSTER, AMERICAN ","468,900","829,864","Commercial","Public"
"1977","MAINE","LOBSTER, AMERICAN ","18,487,200","32,101,423","Commercial","Public"
"1977","NEW HAMPSHIRE","LOBSTER, AMERICAN ","474,100","812,038","Commercial","Public"
"1976","MAINE","LOBSTER, AMERICAN ","19,001,000","29,238,371","Commercial","Public"
"1976","NEW HAMPSHIRE","LOBSTER, AMERICAN ","477,200","668,150","Commercial","Public"
"1975","MAINE","LOBSTER, AMERICAN ","17,007,500","27,478,773","Commercial","Public"
"1975","NEW HAMPSHIRE","LOBSTER, AMERICAN ","480,000","779,184","Commercial","Public"
"1974","MAINE","LOBSTER, AMERICAN ","16,457,600","23,212,808","Commercial","Public"
"1974","NEW HAMPSHIRE","LOBSTER, AMERICAN ","498,600","702,970","Commercial","Public"
"1973","MAINE","LOBSTER, AMERICAN ","17,044,100","23,269,859","Commercial","Public"
"1973","NEW HAMPSHIRE","LOBSTER, AMERICAN ","497,800","679,603","Commercial","Public"
"1972","MAINE","LOBSTER, AMERICAN ","16,256,600","18,587,455","Commercial","Public"
"1972","NEW HAMPSHIRE","LOBSTER, AMERICAN ","673,500","808,875","Commercial","Public"
"1971","MAINE","LOBSTER, AMERICAN ","17,558,500","17,481,291","Commercial","Public"
"1971","NEW HAMPSHIRE","LOBSTER, AMERICAN ","667,400","740,814","Commercial","Public"
"1970","MAINE","LOBSTER, AMERICAN ","18,172,200","17,201,501","Commercial","Public"
"1970","NEW HAMPSHIRE","LOBSTER, AMERICAN ","688,000","722,000","Commercial","Public"
"1969","MAINE","LOBSTER, AMERICAN ","19,834,900","16,046,829","Commercial","Public"
"1969","NEW HAMPSHIRE","LOBSTER, AMERICAN ","732,000","651,480","Commercial","Public"
"1968","MAINE","LOBSTER, AMERICAN ","20,501,800","14,931,671","Commercial","Public"
"1968","NEW HAMPSHIRE","LOBSTER, AMERICAN ","755,000","596,450","Commercial","Public"
"1967","MAINE","LOBSTER, AMERICAN ","16,489,300","13,597,869","Commercial","Public"
"1967","NEW HAMPSHIRE","LOBSTER, AMERICAN ","718,000","610,300","Commercial","Public"
"1966","MAINE","LOBSTER, AMERICAN ","19,915,800","14,904,498","Commercial","Public"
"1966","NEW HAMPSHIRE","LOBSTER, AMERICAN ","807,000","585,075","Commercial","Public"
"1965","MAINE","LOBSTER, AMERICAN ","18,861,785","14,177,204","Commercial","Public"
"1965","NEW HAMPSHIRE","LOBSTER, AMERICAN ","765,000","550,800","Commercial","Public"
"1964","MAINE","LOBSTER, AMERICAN ","21,413,413","14,182,536","Commercial","Public"
"1964","NEW HAMPSHIRE","LOBSTER, AMERICAN ","850,000","544,000","Commercial","Public"
"1963","MAINE","LOBSTER, AMERICAN ","22,804,300","12,635,826","Commercial","Public"
"1963","NEW HAMPSHIRE","LOBSTER, AMERICAN ","747,000","388,440","Commercial","Public"
"1962","MAINE","LOBSTER, AMERICAN ","22,075,300","11,195,609","Commercial","Public"
"1962","NEW HAMPSHIRE","LOBSTER, AMERICAN ","725,000","355,250","Commercial","Public"
"1961","MAINE","LOBSTER, AMERICAN ","20,917,900","11,119,803","Commercial","Public"
"1961","NEW HAMPSHIRE","LOBSTER, AMERICAN ","823,000","387,000","Commercial","Public"
"1960","MAINE","LOBSTER, AMERICAN ","24,014,200","10,967,018","Commercial","Public"
"1960","NEW HAMPSHIRE","LOBSTER, AMERICAN ","935,000","397,400","Commercial","Public"
"1959","MAINE","LOBSTER, AMERICAN ","22,328,800","11,252,686","Commercial","Public"
"1959","NEW HAMPSHIRE","LOBSTER, AMERICAN ","855,000","389,000","Commercial","Public"
"1958","MAINE","LOBSTER, AMERICAN ","21,312,000","10,445,004","Commercial","Public"
"1958","NEW HAMPSHIRE","LOBSTER, AMERICAN ","820,000","344,400","Commercial","Public"
"1957","MAINE","LOBSTER, AMERICAN ","24,402,800","8,954,234","Commercial","Public"
"1957","NEW HAMPSHIRE","LOBSTER, AMERICAN ","910,000","354,900","Commercial","Public"
"1956","MAINE","LOBSTER, AMERICAN ","20,572,300","9,119,807","Commercial","Public"
"1956","NEW HAMPSHIRE","LOBSTER, AMERICAN ","765,000","351,900","Commercial","Public"
"1955","MAINE","LOBSTER, AMERICAN ","22,718,100","8,716,012","Commercial","Public"
"1955","NEW HAMPSHIRE","LOBSTER, AMERICAN ","850,000","312,375","Commercial","Public"
"1954","MAINE","LOBSTER, AMERICAN ","21,667,700","8,087,156","Commercial","Public"
"1954","NEW HAMPSHIRE","LOBSTER, AMERICAN ","775,000","286,750","Commercial","Public"
"1953","MAINE","LOBSTER, AMERICAN ","22,300,300","8,411,229","Commercial","Public"
"1953","NEW HAMPSHIRE","LOBSTER, AMERICAN ","611,000","219,960","Commercial","Public"
"1952","MAINE","LOBSTER, AMERICAN ","20,036,300","8,511,821","Commercial","Public"
"1952","NEW HAMPSHIRE","LOBSTER, AMERICAN ","410,700","164,280","Commercial","Public"
"1951","MAINE","LOBSTER, AMERICAN ","20,759,500","7,214,107","Commercial","Public"
"1951","NEW HAMPSHIRE","LOBSTER, AMERICAN ","531,100","210,132","Commercial","Public"
"1950","MAINE","LOBSTER, AMERICAN ","18,352,600","6,412,311","Commercial","Public"
"1950","NEW HAMPSHIRE","LOBSTER, AMERICAN ","612,700","215,400","Commercial","Public"
